/usr/lib/arm-linux-gnueabihf/libcofi_rpi.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x567af3f0769914e4b4977921292c68df3cb0c13a, not stripped
/usr/lib/libopencv_core.so.2.3.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x77ae2137cd419c2f8da3ff38db1dbd717ae8e450, stripped
/usr/lib/libopencv_imgproc.so.2.3.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x440548fbce7d23a9a92a87b2e486713de10ab196, stripped
/usr/lib/libopencv_highgui.so.2.3.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x4717d84c0147afbf4d6df1118bd87c56af409d95, stripped
/usr/lib/arm-linux-gnueabihf/libstdc++.so.6.0.17: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x3f671d164a37843ac5a8ccb79088794ed64b29d0, stripped
/lib/arm-linux-gnueabihf/libm-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked (uses shared libs), BuildID[sha1]=0x1c38d8ebb0f4b0bbd795a3fb7bf85e06d505d3e0, for GNU/Linux 2.6.26, stripped
/lib/arm-linux-gnueabihf/libgcc_s.so.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x7275b7669131da266d2234f0339aceaa552590e1, stripped
/lib/arm-linux-gnueabihf/libc-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked (uses shared libs), BuildID[sha1]=0xd4070ea508b5ec46809983ee216bde107e5ccb27, for GNU/Linux 2.6.26, stripped
/lib/arm-linux-gnueabihf/libpthread-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked (uses shared libs), BuildID[sha1]=0x49dbb6c826e67ce80c70666f18508c24d39ff2e1, for GNU/Linux 2.6.26, not stripped
/lib/arm-linux-gnueabihf/librt-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked (uses shared libs), BuildID[sha1]=0xa3536649095ab150fbbf9e8e3a16516ba302c6f6, for GNU/Linux 2.6.26, stripped
/lib/arm-linux-gnueabihf/libz.so.1.2.7: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xaaea4801a03221c51f8f105dc85072fc5b6625ca, stripped
/lib/arm-linux-gnueabihf/ld-2.13.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x40caad061df15685e213cec1e4dfe1ba5f67701c, stripped
/usr/lib/arm-linux-gnueabihf/libjpeg.so.8.4.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x54a9ae6a94a93fc42038187b98a643d4f3ffef6a, stripped
/lib/arm-linux-gnueabihf/libpng12.so.0.49.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x5c69002928ac2d937268bd350d185d0e00534b3e, stripped
/usr/lib/arm-linux-gnueabihf/libtiff.so.4.3.6: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x86588b4f821ef31e5c5adfc40f529cd30063edfa, stripped
/usr/lib/arm-linux-gnueabihf/libjasper.so.1.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x990b17ae83624080e8f90eecf1acdcec17991929, stripped
/usr/lib/libIlmImf.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xd0c4e84df205414abc28e1f83e80695c0ab555e5, stripped
/usr/lib/libHalf.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x704e35d5de6281c135c21705f047e18f9f81a216, stripped
/usr/lib/arm-linux-gnueabihf/libgtk-x11-2.0.so.0.2400.10: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xa5ea308f118a4a9a9dd8db1877024e4ffd685076, stripped
/usr/lib/arm-linux-gnueabihf/libgdk-x11-2.0.so.0.2400.10: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xd511c6676d90c06c39241e7b4981d363c8fa81c9, stripped
/usr/lib/arm-linux-gnueabihf/libgobject-2.0.so.0.3200.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x3ee2b8fc42886214ab42b2f6976e53e5ba25c293, stripped
/lib/arm-linux-gnueabihf/libglib-2.0.so.0.3200.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xf65383a325d24bf2688d5592864133c739e55fbe, stripped
/usr/lib/arm-linux-gnueabihf/libavcodec.so.53.35.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x290ee4a72a4537003700387a7577e56195424b19, stripped
/usr/lib/arm-linux-gnueabihf/libavformat.so.53.21.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xbbfb4ad08b6e0ec06fe5a8d1afef26acada3f136, stripped
/usr/lib/arm-linux-gnueabihf/libavutil.so.51.22.2: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x50f229e5729b7cdd9fa0621d9b56d4f4b287a4bc, stripped
/usr/lib/arm-linux-gnueabihf/libswscale.so.2.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x6ef75043d8d5067972515985440358f9e278c9fa, stripped
/usr/lib/arm-linux-gnueabihf/libdc1394.so.22.1.7: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x0477b96e1093706b557deb7ff9136db5b836235e, stripped
/usr/lib/arm-linux-gnueabihf/libv4l1.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xc9a02a75aba4218a1e6d1c8ca9ed4333ef5c16f0, stripped
/usr/lib/arm-linux-gnueabihf/libjbig.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xf08f7884d8e266342765f54db3af6ff7229ed6d6, stripped
/usr/lib/libImath.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xb8edc1e4a01f72b8d42eca39efc31a29e9bd0748, stripped
/usr/lib/libIex.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x5aebdf2c7ee0ef8a4cf071d7e6c268c988defeb3, stripped
/usr/lib/libIlmThread.so.6.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xc72a2f593bf7fd608d6b48ffcaf930611bafb88e, stripped
/usr/lib/arm-linux-gnueabihf/libpangocairo-1.0.so.0.3000.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x2cc3640ef10570afd37c7a3a85946cb1a2f2948b, stripped
/usr/lib/arm-linux-gnueabihf/libX11.so.6.3.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x82f1b16a09e8bb82ccfd28afdccb0de43aa6c628, stripped
/usr/lib/arm-linux-gnueabihf/libXcomposite.so.1.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x4378eae86075b3e2a866d68c6f4a3ca11b6ffd2b, stripped
/usr/lib/arm-linux-gnueabihf/libXdamage.so.1.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x3c88cd74651b75e022057c4c176c6bb627a2ff96, stripped
/usr/lib/arm-linux-gnueabihf/libXfixes.so.3.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xb9b18515d4e3da3209b2bc135b69348e8143f945, stripped
/usr/lib/arm-linux-gnueabihf/libatk-1.0.so.0.20409.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x3dd8742f89781eabdd66a72a43cf43280bf20751, stripped
